SUBSTÂNCIA,CNPJ,LABORATÓRIO,CÓDIGO GGREM,REGISTRO,EAN 1,EAN 2,EAN 3,PRODUTO,APRESENTAÇÃO,CLASSE TERAPÊUTICA,TIPO DE PRODUTO (STATUS DO PRODUTO),REGIME DE PREÇO,PF Sem Impostos,PF 0%,PF 12%,PF 17%,PF 17% ALC,"PF 17,5%","PF 17,5% ALC",PF 18%,PF 18% ALC,PF 20%,PMC 0%,PMC 12%,PMC 17%,PMC 17% ALC,"PMC 17,5%","PMC 17,5% ALC",PMC 18%,PMC 18% ALC,PMC 20%,RESTRIÇÃO HOSPITALAR,CAP,CONFAZ 87,ICMS 0%,ANÁLISE RECURSAL,LISTA DE CONCESSÃO DE CRÉDITO TRIBUTÁRIO (PIS/COFINS),COMERCIALIZAÇÃO 2020,TARJA
ACETATO DE ABIRATERONA,05.035.244/0001-23,SUN FARMACÊUTICA DO BRASIL LTDA,532419070024903,1468200780018,7898272945319,    -     ,    -     ,ABBA,250 MG COM CT FR PLAS PEAD OPC X 120,L2B2 - HORMÔNIOS ANTIANDROGÊNICOS CITOSTÁTICOS,Similar,Regulado,5778.02,6471.38,7478.25,7996.87,6961.46,8052.72,7003.66,8109.36,7046.36,8344.14,8681.13,9989.33,10659.22,9623.81,10731.21,9682.15,10804.17,9741.18,11106.33,Não,Não,Não,Não,,Negativa,Sim,Tarja Vermelha
ANFOTERICINA B,05.333.542/0001-08,TEVA FARMACÊUTICA LTDA.,537516030006817,1557300340037,7898587900201,    -     ,    -     ,ABELCET,5 MG/ML SUS INJ IV CT FA VD TRANS X 20 ML + AGU,J2A - AGENTES SISTÊMICOS PARA INFECÇÕES FÚNGICAS,Novo,Regulado,2722.37,2722.37,3093.6,3279.96,3279.96,3299.84,3299.84,3319.96,3319.96,3402.96,,,,,,,,,,Sim,Não,Não,Não,,Positiva,Sim,Tarja Vermelha
PACLITAXEL,17.625.281/0001-70,CELGENE BRASIL PRODUTOS FARMACÊUTICOS LTDA.,562417080000007,1961400010016,7898957392063,    -     ,    -     ,ABRAXANE,100 MG PO LIOF SUS INJ CT FA VD TRANS,L1C2 - AGENTES ANTINEOPLÁSICOS TAXANOS,Novo,Regulado,854.85,854.85,971.42,1029.94,1029.94,1036.18,1036.18,1042.5,1042.5,1068.56,,,,,,,,,,Sim,Não,Não,Não,,Positiva,Sim,Tarja Vermelha
CLORIDRATO DE DULOXETINA,33.349.473/0001-58,FARMOQUÍMICA S/A,509017070016504,1039001920074,7898040325602,    -     ,    -     ,ABRETIA,60 MG CAP DURA LIB RETARD CT BL AL PLAS TRANS X 30,N6A5 - ANTIDEPRESSIVOS SNRI,Similar,Regulado,199.67,199.67,226.9,240.57,240.57,242.02,242.02,243.5,243.5,249.59,276.03,313.68,332.57,332.57,334.58,334.58,336.62,336.62,345.04,Não,Não,Não,Não,,Positiva,Sim,Tarja Vermelha
ACEBROFILINA,02.814.497/0001-07,CIMED INDÚSTRIA DE MEDICAMENTOS LTDA,506414100028706,1438101310038,7896523209098,    -     ,    -     ,ACEBROFILINA,10 MG/ML XPE CX 50 FR PLAS AMB X 120 ML + 50 CP MED (EMB HOSP),R5C - EXPECTORANTES,Genérico,Regulado,713.74,713.74,811.07,859.93,859.93,865.14,865.14,870.41,870.41,892.18,986.7,1121.26,1188.8,1188.8,1196.01,1196.01,1203.29,1203.29,1233.39,Não,Não,Não,Não,,Positiva,Sim,Tarja Vermelha
ACEBROFILINA,02.814.497/0001-07,CIMED INDÚSTRIA DE MEDICAMENTOS LTDA,506414100028606,1438101310046,7896523209104,    -     ,    -     ,ACEBROFILINA,5 MG/ML XPE CX 50 FR PLAS AMB X 120 ML + 50 CP MED (EMB HOSP),R5C - EXPECTORANTES,Genérico,Regulado,594.8,594.8,675.91,716.63,716.63,720.97,720.97,725.37,725.37,743.5,822.28,934.41,990.7,990.7,996.7,996.7,1002.78,1002.78,1027.85,Não,Não,Não,Não,,Positiva,Sim,Tarja Vermelha
ACEBROFILINA,73.856.593/0001-66,PRATI DONADUZZI & CIA LTDA,528525712137112,1256801590128,7898148292790,    -     ,    -     ,ACEBROFILINA,5 MG/ ML XPE CX 50 FR PLAS OPC X 120 ML + 50 COP,R5C - EXPECTORANTES,Genérico,Regulado,444.47,444.47,505.08,535.51,535.51,538.75,538.75,542.04,542.04,555.59,,,,,,,,,,Sim,Não,Não,Não,,Positiva,Sim,Tarja Vermelha
PERINDOPRIL,42.374.207/0001-76,LABORATÓRIOS SERVIER DO BRASIL LTDA,531314020007203,1127800740061,7898029550254,    -     ,    -     ,ACERTIL,10 MG COM REV CT TB PLAS X 60,C9A - INIBIDORES DA ECA PUROS,Novo,Regulado,100.14,100.14,113.8,120.65,120.65,121.38,121.38,122.12,122.12,125.18,138.44,157.32,166.79,166.79,167.8,167.8,168.82,168.82,173.05,Não,Não,Não,Não,,Positiva,Sim,Tarja Vermelha
CLORIDRATO DE TIAMINA,05.155.425/0001-93,CASULA & VASCONCELOS INDÚSTRIA FARMACÊUTICA E COMÉRCIO LTDA,540600601154317,1640000010017,7898920500099,    -     ,    -     ,ACESYL,100 MG/ML SOL INJ CX 50 AMP VD AMB X 1 ML,A11D3 - VITAMINA B1 PURA,Específico,Regulado,441.42,441.42,501.61,531.83,531.83,535.05,535.05,538.32,538.32,551.78,610.24,693.45,735.22,735.22,739.68,739.68,744.2,744.2,762.8,Não,Não,Não,Não,,Positiva,Sim,Tarja Vermelha
ACETATO DE ABIRATERONA,03.978.166/0001-75,DR. REDDYS FARMACÊUTICA DO BRASIL LTDA,507518030008406,1514300280030,8901148240056,    -     ,    -     ,ACETATO DE ABIRATERONA,250 MG COM REV CT FR PLAS PEAD OPC X 120,L2B2 - HORMÔNIOS ANTIANDROGÊNICOS CITOSTÁTICOS,Genérico,Regulado,5777.61,6470.92,7477.72,7996.3,6960.97,8052.15,7003.16,8108.78,7045.86,8343.55,8680.51,9988.62,10658.46,9623.13,10730.45,9681.46,10803.4,9740.49,11105.54,Não,Não,Não,Não,,Negativa,Sim,Tarja Vermelha
ACETATO DE ABIRATERONA,05.035.244/0001-23,SUN FARMACÊUTICA DO BRASIL LTDA,532418120023506,1468200680013,7898272945166,    -     ,    -     ,ACETATO DE ABIRATERONA,250 MG COM CT FR PLAS PEAD OPC X 120,L2B2 - HORMÔNIOS ANTIANDROGÊNICOS CITOSTÁTICOS,Genérico,Regulado,5778.02,6471.38,7478.25,7996.87,6961.46,8052.72,7003.66,8109.36,7046.36,8344.14,8681.13,9989.33,10659.22,9623.81,10731.21,9682.15,10804.17,9741.18,11106.33,Não,Não,Não,Não,,Negativa,Sim,Tarja Vermelha
ACETATO DE ABIRATERONA,61.286.647/0001-16,SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA,511520020070707,1004706190015,7897595633545,    -     ,    -     ,ACETATO DE ABIRATERONA,250 MG COM CT FR PLAS PEAD OPC X 120,L2B2 - HORMÔNIOS ANTIANDROGÊNICOS CITOSTÁTICOS,Genérico,Regulado,5778.02,6471.38,7478.25,7996.87,6961.46,8052.72,7003.66,8109.36,7046.36,8344.14,8681.13,9989.33,10659.22,9623.81,10731.21,9682.15,10804.17,9741.18,11106.33,Não,Não,Não,Não,,Negativa,Sim,Tarja Vermelha
ACETATO DE ABIRATERONA,05.333.542/0001-08,TEVA FARMACÊUTICA LTDA.,537520090009107,1557300510013,7898587901598,    -     ,    -     ,ACETATO DE ABIRATERONA,250 MG COM REV CT FR PLAS PEAD OPC X 120,L2B2 - HORMÔNIOS ANTIANDROGÊNICOS CITOSTÁTICOS,Genérico,Regulado,5778.03,6471.39,7478.26,7996.88,6961.47,8052.73,7003.67,8109.37,7046.37,8344.15,8681.14,9989.34,10659.24,9623.82,10731.22,9682.16,10804.18,9741.19,11106.34,Não,Não,Não,Não,,Negativa,Sim,Tarja Vermelha
ACETATO DE ATOSIBANA,64.171.697/0001-46,ACCORD FARMACÊUTICA LTDA,538018050025806,1553700510018,7898947385785,    -     ,    -     ,ACETATO DE ATOSIBANA,"7,50 MG/ML SOL DIL INJ CT FA VD TRANS X 5 ML",G2E - INIBIDORES DO PARTO,Genérico,Regulado,424.69,424.69,482.6,511.67,511.67,514.78,514.78,517.91,517.91,530.86,,,,,,,,,,Sim,Não,Não,Não,,Positiva,Sim,Tarja Vermelha
ACETATO DE DESMOPRESSINA,61.282.661/0001-41,LABORATÓRIO QUÍMICO FARMACÊUTICO BERGAMO LTDA,519507902176111,1064601720018,7898149934910,7898943602497,    -     ,ACETATO DE DESMOPRESSINA,"0,1 MG/ML SOL CT FR SPR VD AMB X 2,5 ML",H4D - HORMÔNIOS ANTIDIURÉTICOS,Genérico,Regulado,123.74,123.74,140.61,149.08,149.08,149.99,149.99,150.9,150.9,154.68,171.06,194.39,206.09,206.09,207.35,207.35,208.61,208.61,213.84,Não,Sim,Sim,Não,,Positiva,Sim,Tarja Vermelha
ACETATO DE DEXAMETASONA,73.856.593/0001-66,PRATI DONADUZZI & CIA LTDA,528524002160110,1256801260020,7898148294602,    -     ,    -     ,ACETATO DE DEXAMETASONA,1 MG/G CREM DERM CX 100 BG AL X 10 G (EMB HOSP),D7A - CORTICOESTERÓIDES TÓPICOS PUROS,Genérico,Regulado,426.38,426.38,484.52,513.71,513.71,516.82,516.82,519.98,519.98,532.98,,,,,,,,,,Sim,Não,Não,Não,,Positiva,Sim,Tarja Vermelha
ACETATO DE DEXAMETASONA,61.068.755/0001-12,SANVAL COMÉRCIO E INDÚSTRIA LTDA,530817070024406,1071402490023,7896137123797,    -     ,    -     ,ACETATO DE DEXAMETASONA,1 MG/G CREM DERM CX 50 BG AL X 10 G (EMB HOSP),D7A - CORTICOESTERÓIDES TÓPICOS PUROS,Genérico,Regulado,328.08,328.08,372.82,395.28,395.28,397.67,397.67,400.1,400.1,410.1,,,,,,,,,,Sim,Não,Não,Não,,Positiva,Sim,Tarja Vermelha
ACETATO DE SÓDIO TRIIDRATADO,05.155.425/0001-93,CASULA & VASCONCELOS INDÚSTRIA FARMACÊUTICA E COMÉRCIO LTDA,540600401155417,1640000040013,7898920500167,    -     ,    -     ,ACETATO DE SÓDIO,2 MEQ/ML SOL INJ IV CX 50 AMP VD TRANS X 10 ML,K1A4 - SOLUÇÕES ELETROLÍTICAS 1/3,Específico,Regulado,438.91,438.91,498.76,528.81,528.81,532.01,532.01,535.26,535.26,548.64,,,,,,,,,,Sim,Não,Não,Não,,Positiva,Sim,Tarja Vermelha
ACICLOVIR,33.069.212/0001-84,MERCK S/A,525400202112111,1008902800060,7891721023484,    -     ,    -     ,ACICLOVIR,400 MG COM CT FR PLAS OPC X 30,J5B3 - ANTIVIRAIS PARA HERPES,Genérico,Regulado,146.56,146.56,166.55,176.58,176.58,177.65,177.65,178.73,178.73,183.2,202.61,230.25,244.11,244.11,245.59,245.59,247.08,247.08,253.26,Não,Não,Não,Não,,Positiva,Sim,Tarja Vermelha
ACICLOVIR,03.485.572/0001-04,GEOLAB INDÚSTRIA FARMACÊUTICA S/A,510420040180907,1542303000077,7899095243958,    -     ,    -     ,ACICLOVIR,200 MG COM CT BL AL PLAS PVC/PVDC TRANS X 500,J5B3 - ANTIVIRAIS PARA HERPES,Genérico,Regulado,2651.59,2651.59,3013.17,3194.69,3194.69,3214.05,3214.05,3233.65,3233.65,3314.49,3665.67,4165.53,4416.47,4416.47,4443.24,4443.24,4470.33,4470.33,4582.09,Não,Não,Não,Não,,Positiva,Sim,Tarja Vermelha
ACICLOVIR,10.588.595/0010-92,SANOFI MEDLEY FARMACÊUTICA LTDA.,546717060110606,1832602830065,7896422504065,    -     ,    -     ,ACICLOVIR,400 MG COM CT FR PLAS OPC X 30,J5B3 - ANTIVIRAIS PARA HERPES,Genérico,Regulado,117.24,117.24,133.23,141.25,141.25,142.11,142.11,142.98,142.98,146.55,162.08,184.18,195.27,195.27,196.46,196.46,197.66,197.66,202.6,Não,Não,Não,Não,,Positiva,Sim,Tarja Vermelha
ACICLOVIR,73.663.650/0001-90,RANBAXY FARMACÊUTICA LTDA,529918110060406,1235200570065,7897076921819,    -     ,    -     ,ACICLOVIR,200 MG COM CT BL AL PLAS TRANS X 500,J5B3 - ANTIVIRAIS PARA HERPES,Genérico,Regulado,1194.51,1194.51,1357.4,1439.17,1439.17,1447.89,1447.89,1456.72,1456.72,1493.14,,,,,,,,,,Sim,Não,Não,Não,,Positiva,Sim,Tarja Vermelha
